model,variant,pattern,rate,mae_mean_mean,mae_mean_std,mae_mean_count,rmse_mean_mean,rmse_mean_std,rmse_mean_count,mae_T_mean,mae_T_std,mae_T_count,mae_RH_mean,mae_RH_std,mae_RH_count,mae_wspd_mean,mae_wspd_std,mae_wspd_count,mae_P_mean,mae_P_std,mae_P_count,mae_q_mean,mae_q_std,mae_q_count,rmse_T_mean,rmse_T_std,rmse_T_count,rmse_RH_mean,rmse_RH_std,rmse_RH_count,rmse_wspd_mean,rmse_wspd_std,rmse_wspd_count,rmse_P_mean,rmse_P_std,rmse_P_count,rmse_q_mean,rmse_q_std,rmse_q_count
itransformer,,long,0.4,0.36295175552368164,0.003606645459636564,3,0.5150309602419535,0.0026237335296194725,3,0.27621716260910034,0.0031659350964356706,3,0.5307328701019287,0.0028920836689953727,3,0.6018538475036621,0.008359369019270861,3,0.10857912649710973,0.0020583780020463362,3,0.29737574855486554,0.0031696012882286443,3,0.3740076720714569,0.004373860590202815,3,0.6859093507130941,0.004541325364850565,3,0.9216196537017822,0.005851512324548886,3,0.15493620932102203,0.0077334938745663275,3,0.43868183096249896,0.001528062940279944,3
itransformer,,long,0.6,0.38444916407267254,0.0016387874034123268,3,0.5396432280540466,0.0015660309487008572,3,0.3011618951956431,0.0001715854168273504,3,0.5638585289319357,0.0064020800906512045,3,0.6072078545888265,0.00223729366452394,3,0.11160834381977718,0.0009783406002918233,3,0.33840922514597577,0.0033361785690927052,3,0.40408626198768616,0.0009043630710839563,3,0.7192599376042684,0.008542052744816496,3,0.9211932023366293,0.005827304576671355,3,0.16433715323607126,0.006577041419877422,3,0.4893395205338796,0.0007197472896308924,3
itransformer,,medium,0.2,0.33547598123550415,0.0008236511268665819,3,0.4756613572438558,0.0015127332333992156,3,0.24526030818621317,0.0004968593794021869,3,0.49411176641782123,0.0041965726373620555,3,0.5756745537122091,0.004309542316301042,3,0.09499188264211018,0.0006677066851845779,3,0.2673414846261342,0.002404333621094118,3,0.3298675815264384,0.00015295396863942632,3,0.6454774339993795,0.005617167053125244,3,0.8776842753092448,0.008775949431459743,3,0.13230702777703604,0.0067752398932071235,3,0.3929704924424489,0.005161177380067257,3
itransformer,,medium,0.4,0.34719868501027423,0.0011863279781750469,3,0.48934417963027954,0.001627893668887112,3,0.25871551036834717,0.00466804990890264,3,0.5162246425946554,0.0032709385812699676,3,0.5800381898880005,0.004754125587685605,3,0.09486051152149837,0.00039297140478024013,3,0.28615448872248334,0.003196854797224639,3,0.3468775749206543,0.005553783413150872,3,0.6683803796768188,0.004346265481942907,3,0.8838331500689188,0.0016051901014812978,3,0.12844011187553406,0.0015574448930020647,3,0.41918973128000897,0.0052532106959264704,3
itransformer,,medium,0.6,0.36480894684791565,0.000901918406582366,3,0.5107789238293966,0.0011072401649899234,3,0.28002538283665973,0.0019180798120141806,3,0.5373626550038656,0.002048214049888461,3,0.5966235597928365,0.004396181693302972,3,0.09851063042879105,0.0022637775014090924,3,0.3115224838256836,0.003928342585837611,3,0.37508740027745563,0.0010717229618129552,3,0.6892506082852682,0.0014423475190445247,3,0.9055877129236857,0.0049280100192189025,3,0.13029989103476206,0.0033184537916103366,3,0.453669011592865,0.004617334763673563,3
itransformer,,short,0.2,0.3291340967019399,0.035329982632754005,3,0.46226759751637775,0.04208588005641745,3,0.24338407814502716,0.04040181178937238,3,0.47779133915901184,0.038033912546909375,3,0.5443638364473978,0.03419967151791689,3,0.09547134240468343,0.011238482378481945,3,0.2846599618593852,0.05290916235825635,3,0.32225508491198224,0.05118655653630196,3,0.624369740486145,0.04078722779581622,3,0.8310202956199646,0.039939594780983655,3,0.12563144167264303,0.013656805389306033,3,0.4080614149570465,0.06527183633323286,3
itransformer,,short,0.4,0.315329909324646,0.0018516904839825426,3,0.44973038633664447,0.0022437550391787367,3,0.22746615608533224,0.0005879782325734898,3,0.4686219096183777,0.0032972276782444634,3,0.5340928435325623,0.0029439223004096293,3,0.08276887238025665,0.0011570107341055476,3,0.26369977990786236,0.0023094739095856345,3,0.3048046827316284,0.0009140588678250723,3,0.6159572005271912,0.004523093823566704,3,0.8309825658798218,0.0008376115056132535,3,0.11120570947726567,0.005025686596112198,3,0.38570186495780945,0.0005664530536479956,3
itransformer,,short,0.6,0.3282134234905243,0.0010403463868803706,3,0.467272013425827,0.002406697862668302,3,0.24199925363063812,0.0020637869853427047,3,0.4882318278153737,0.0018754789280888194,3,0.5499831040700277,0.0014510819266578166,3,0.0835572878519694,0.0006599759780206293,3,0.2772955894470215,0.0030250376682120837,3,0.325329194466273,0.0025709562972097036,3,0.6378785173098246,0.003403456106737465,3,0.8563153743743896,0.00342432666569487,3,0.11149684836467107,0.00327549463016114,3,0.40534016489982605,0.004863731512227976,3
linear_interp,,long,0.2,0.47381935516993207,0.0014887240408275695,3,0.7021679878234863,0.005300700560968997,3,0.3712569872538249,0.0008950895930963047,3,0.6811542510986328,0.004635187420236072,3,0.7660032908121744,0.004745659086618641,3,0.09999178349971771,0.0021105606913651405,3,0.4506903688112895,0.0013940295793917013,3,0.5151752829551697,0.0033826260455915506,3,0.92205278078715,0.006408470579580259,3,1.23612113793691,0.018049588408955704,3,0.17720359563827515,0.01067329095223242,3,0.6602870225906372,0.0011401841532327577,3
linear_interp,,long,0.4,0.484176645676295,0.002397746609166591,3,0.7184538046518961,0.0020765427499075226,3,0.3822396794954936,0.002314844656235242,3,0.6892167131106058,0.0027630160957218116,3,0.7803960641225179,0.007399776156366712,3,0.10593448330958684,0.0014301898705136402,3,0.46309639016787213,0.002211129076522686,3,0.5315869251887003,0.002874357775555516,3,0.9301337798436483,0.0022452248318700855,3,1.25493319829305,0.012807267620675624,3,0.19554141660531363,0.007155034234056061,3,0.680073877175649,0.0036713659329056774,3
