station,station_id,split,variable,n_steps,missing_rate,block_count,mean_block_steps,median_block_steps,p90_block_steps,max_block_steps,mean_block_hours,max_block_days,long_block_count_ge_72,long_block_missing_share
Gill,gill,main,P,108112,0.11755401805535001,341,37.26979472140763,2.0,9.0,3773,111.80938416422288,471.625,9,0.8941694861908883
Gill,gill,main,wspd,108112,0.37860737013467516,3494,11.714939896966229,1.0,7.0,4127,35.144819690898686,515.875,68,0.7423287403498485
Gill,gill,main,RH,108112,0.7922617285777712,240,356.8875,2.0,15.099999999999994,75792,1070.6625,9474.0,11,0.9883600107410132
Lower Thwaites Glacier,lower_thwaites_glacier,main,T,32840,0.2883373934226553,1868,5.069057815845825,1.0,3.0,5385,15.207173447537475,673.125,3,0.646002745802091
Lower Thwaites Glacier,lower_thwaites_glacier,main,P,32840,0.19643727161997565,66,97.74242424242425,2.0,24.0,5385,293.22727272727275,673.125,3,0.9482250813827313
Lower Thwaites Glacier,lower_thwaites_glacier,main,wspd,32840,0.4133982947624848,1729,7.851937536148062,1.0,5.0,5385,23.555812608444185,673.125,18,0.6580730701237478
Lower Thwaites Glacier,lower_thwaites_glacier,main,RH,32840,0.1964068209500609,65,99.23076923076923,2.0,24.80000000000001,5385,297.6923076923077,673.125,3,0.9483720930232559
Up Thwaites Glacier,up_thwaites_glacier,main,T,30128,0.2848844928305895,2370,3.6215189873417724,2.0,3.0,2204,10.864556962025317,275.5,4,0.46102761272282416
Up Thwaites Glacier,up_thwaites_glacier,main,P,30128,0.13372942113648434,28,143.89285714285714,2.0,463.4000000000002,2204,431.67857142857144,275.5,4,0.9818813601389923
Up Thwaites Glacier,up_thwaites_glacier,main,wspd,30128,0.48476500265533723,1131,12.913351016799293,1.0,7.0,2204,38.740053050397876,275.5,28,0.7502909962341664
Up Thwaites Glacier,up_thwaites_glacier,main,RH,30128,0.13372942113648434,28,143.89285714285714,2.0,463.4000000000002,2204,431.67857142857144,275.5,4,0.9818813601389923
Erin,erin,main,T,79384,0.27747405018643556,1574,13.99428208386277,2.0,4.0,5324,41.982846251588306,665.5,17,0.839333545194534
Erin,erin,main,P,79384,0.5764259800463569,191,239.5759162303665,4.0,45.0,29224,718.7277486910995,3653.0,17,0.9751742826547783
Erin,erin,main,wspd,79384,0.42895293761967146,3336,10.207434052757794,1.0,3.0,11061,30.62230215827338,1382.625,14,0.8072947257136145
