run_name,config,checkpoint,pattern,rate,seed,perturbation,mae_T,rmse_T,mae_RH,rmse_RH,mae_wspd,rmse_wspd,mae_P,rmse_P,mae_q,rmse_q,mae_mean,rmse_mean
ecbit_full_medium_r60_s43,experiments/configs/round2_gated/ecbit_full_medium_r60_s43.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s43/best.pt,medium,0.6,43,downsample_12h,0.16527564823627472,0.22225679457187653,0.44400325417518616,0.5908079147338867,0.4430616497993469,0.7001295685768127,0.05182156339287758,0.0675719603896141,0.22263474762439728,0.3270014822483063,0.26535937190055847,0.3815535306930542
ecbit_full_medium_r60_s43,experiments/configs/round2_gated/ecbit_full_medium_r60_s43.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s43/best.pt,medium,0.6,43,downsample_24h,0.186380535364151,0.25134557485580444,0.4655786156654358,0.6182323098182678,0.4875413477420807,0.7626872062683105,0.0567011795938015,0.07381661236286163,0.2466767281293869,0.3621752858161926,0.288575679063797,0.41365137696266174
ecbit_full_medium_r60_s43,experiments/configs/round2_gated/ecbit_full_medium_r60_s43.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s43/best.pt,medium,0.6,43,downsample_6h,0.15886849164962769,0.21411165595054626,0.4380386471748352,0.5836893320083618,0.43218809366226196,0.6859424710273743,0.050413597375154495,0.06573754549026489,0.2155362218618393,0.3164309561252594,0.2590090334415436,0.37318238615989685
ecbit_full_medium_r60_s43,experiments/configs/round2_gated/ecbit_full_medium_r60_s43.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s43/best.pt,medium,0.6,43,mask_P,0.16509678959846497,0.22136108577251434,0.4467809200286865,0.5899711847305298,0.47435158491134644,0.7726104855537415,0.18781232833862305,0.2963143587112427,0.2219618558883667,0.3224961459636688,0.2992006838321686,0.44055062532424927
ecbit_full_medium_r60_s43,experiments/configs/round2_gated/ecbit_full_medium_r60_s43.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s43/best.pt,medium,0.6,43,mask_RH,0.1602715402841568,0.2164125293493271,0.5400463342666626,0.7014427781105042,0.4527748227119446,0.706000566482544,0.0532192587852478,0.07063321024179459,0.21794675290584564,0.3198096454143524,0.28485172986984253,0.40285974740982056
ecbit_full_medium_r60_s43,experiments/configs/round2_gated/ecbit_full_medium_r60_s43.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s43/best.pt,medium,0.6,43,mask_T,0.4359057545661926,0.5678536891937256,0.45770391821861267,0.6003767251968384,0.44971561431884766,0.7123603224754333,0.0516466349363327,0.06735827773809433,0.22787754237651825,0.33033913373947144,0.3245698809623718,0.45565763115882874
ecbit_full_medium_r60_s43,experiments/configs/round2_gated/ecbit_full_medium_r60_s43.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s43/best.pt,medium,0.6,43,mask_q,0.16249968111515045,0.21838876605033875,0.4406275749206543,0.5872740745544434,0.434185266494751,0.6934452652931213,0.05189276114106178,0.068137988448143,0.4211171865463257,0.6017199158668518,0.3020644783973694,0.43379315733909607
ecbit_full_medium_r60_s43,experiments/configs/round2_gated/ecbit_full_medium_r60_s43.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s43/best.pt,medium,0.6,43,mask_wspd,0.160873144865036,0.21608521044254303,0.4534042179584503,0.596466600894928,0.6334906220436096,0.9536283016204834,0.06090175732970238,0.08192478865385056,0.21694011986255646,0.3173317611217499,0.3051219582557678,0.4330872893333435
ecbit_full_medium_r60_s44,experiments/configs/round2_gated/ecbit_full_medium_r60_s44.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s44/best.pt,medium,0.6,44,baseline,0.15774349868297577,0.21366025507450104,0.44422784447669983,0.5870293974876404,0.42795518040657043,0.6799860000610352,0.05239218473434448,0.06816723197698593,0.21434201300144196,0.31460559368133545,0.2593321204185486,0.3726896643638611
ecbit_full_medium_r60_s44,experiments/configs/round2_gated/ecbit_full_medium_r60_s44.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s44/best.pt,medium,0.6,44,downsample_12h,0.1660909652709961,0.22373783588409424,0.45061859488487244,0.5942561626434326,0.4400414824485779,0.6956507563591003,0.05395382642745972,0.07011526823043823,0.22284461557865143,0.327085018157959,0.2667098939418793,0.3821690082550049
